MUN_OFICIA,CLA_CICTRO,INESTAB_su,SUP_TOT_HA
"09012",Muy bajo,0.000000,31450.162
"09013",Muy bajo,0.000000,11411.637
"09008",Muy bajo,0.000000,6341.881
"09002",Muy bajo,0.000000,3352.290
"09014",Muy bajo,0.000000,2670.132
"09015",Muy bajo,0.000000,3252.483
"09010",Muy bajo,0.000000,9589.471
"09005",Muy bajo,0.000000,8790.616
"09004",Muy bajo,0.000000,7146.876
"09016",Muy bajo,0.000000,4639.188
"09006",Muy bajo,0.000000,2309.546
"09003",Muy bajo,0.000000,5392.258
"09017",Muy bajo,0.000000,3386.337
"09011",Muy bajo,0.000000,8584.161
"09007",Muy bajo,0.000000,11317.383
"09009",Muy bajo,0.000000,29824.711
"12006",Muy bajo,0.000000,62688.417
"12017",Muy bajo,0.000000,44566.811
"12026",Muy bajo,0.000000,37301.878
"12028",Bajo,0.000000,74972.221
"12029",Muy bajo,0.000000,218063.776
"12031",Muy bajo,0.000000,26005.656
"12032",Muy bajo,0.000000,172673.753
"12034",Muy bajo,0.000000,132759.870
"12039",Muy bajo,0.000000,40880.579
"12040",Muy bajo,0.000000,72070.065
"12042",Muy bajo,0.000000,61533.285
"12044",Muy bajo,0.000000,51258.255
"12051",Bajo,0.000000,84549.802
"12053",Bajo,0.000000,115649.497
"12056",Bajo,0.000000,69753.429
"12058",Muy bajo,0.000000,100941.038
"12059",Muy bajo,0.000000,85290.422
"12061",Muy bajo,0.000000,38863.329
"12074",Muy bajo,0.000000,30467.126
"12075",Muy bajo,0.000000,124927.579
"12035",Muy bajo,0.000000,57042.979
"12021",Bajo,0.000000,181076.658
"12005",Muy bajo,0.000000,9387.465
"12008",Muy bajo,0.000000,55799.130
"12009",Muy bajo,0.000000,14651.685
"12010",Bajo,0.000000,57346.627
"12012",Medio,0.000000,105174.832
"12013",Bajo,0.000000,39594.421
"12018",Medio,0.000000,29656.763
"12019",Muy bajo,0.000000,73248.825
"12020",Bajo,0.000000,30662.465
"12024",Muy bajo,0.000000,23921.254
"12025",Medio,0.000000,31398.099
"12030",Medio,0.000000,28438.288
"12033",Muy bajo,0.000000,27492.154
"12036",Muy bajo,0.000000,19515.358
"12041",Muy bajo,0.000000,47291.964
"12045",Bajo,0.000000,70691.240
"12046",Muy bajo,0.000000,60265.562
"12052",Medio,0.000000,109767.858
"12063",Bajo,0.000000,27996.991
"12066",Bajo,0.000000,60903.041
"12069",Muy bajo,0.000000,22663.121
"12070",Muy bajo,0.000000,26161.401
"12071",Muy bajo,0.000000,45322.147
"12072",Bajo,0.000000,22835.551
"12076",Bajo,0.000000,63076.178
"12077",Bajo,0.000000,21073.164
"12079",Bajo,0.000000,13197.707
